instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc1c20s3ct1.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.37506250763241,3,100,120000,41342,78658,1276,4,31.639548778533936,190,38,36,213854.453001477,,,,,multiseed_replication
tc1c20s3ct1.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.830659311113314,3,100,120000,49750,70250,2620,3,26.059701919555664,190,76,74,395338.94289634994,,,,,multiseed_replication
tc1c20s3ct1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.265695847478405,3,100,120000,48768,71232,2527,4,26.833829879760746,190,114,112,615138.9380368905,,,,,multiseed_replication
tc1c20s3ct3.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.59029172826853,3,100,120000,39309,80691,1619,4,18.93385505676269,190,38,38,204335.7519383523,,,,,multiseed_replication
tc1c20s3ct3.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.588295303189998,3,100,120000,39309,80691,1633,4,16.95781183242798,190,76,76,486918.0610845651,,,,,multiseed_replication
tc1c20s3ct3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.896342369964287,3,100,120000,39019,80981,2233,3,18.07792496681213,190,114,114,709070.0979875725,,,,,multiseed_replication
tc1c20s3ct4.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.336026729585308,4,100,120000,61408,58592,3278,4,24.4395170211792,190,38,36,211306.90689661747,,,,,multiseed_replication
tc1c20s3ct4.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.336026729585306,4,100,120000,60688,59312,3796,4,23.17739510536194,190,76,72,433197.1919397579,,,,,multiseed_replication
tc1c20s3ct4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.336026729585306,4,100,120000,60688,59312,3803,4,24.19171118736267,190,114,108,690508.5792778423,,,,,multiseed_replication
tc1c20s4cf1.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.649328268759293,3,100,120000,48191,71809,1783,4,21.9109890460968,190,38,34,190205.69848315703,,,,,multiseed_replication
