instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc1c20s3cf3.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.62052884551675,3,100,120000,42400,77600,1914,4,18.756645917892456,190,76,74,140219.43246869493,,,,,omega_sensitivity
tc1c20s3cf3.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.375213599452833,3,100,120000,41598,78402,1820,4,17.3160879611969,190,114,110,222967.1320298857,,,,,omega_sensitivity
tc1c20s3cf4.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.999436837121298,4,100,120000,66860,53140,1553,4,24.99510908126831,190,38,36,67933.15293270255,,,,,omega_sensitivity
tc1c20s3cf4.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.999436837121298,4,100,120000,66860,53140,1553,4,23.09116291999817,190,76,74,152152.36065715703,,,,,omega_sensitivity
tc1c20s3cf4.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.923240897061287,4,100,120000,67151,52849,2572,4,24.896526098251343,190,114,112,241302.1294806852,,,,,omega_sensitivity
tc1c20s3ct1.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.944897754793182,4,100,120000,75106,44894,3120,4,41.741894006729126,190,38,36,72090.8972576093,,,,,omega_sensitivity
tc1c20s3ct1.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.27956298629772,4,100,120000,67841,52159,3246,4,31.2104709148407,190,76,74,133375.9970739898,,,,,omega_sensitivity
tc1c20s3ct1.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.416931207930276,4,100,120000,61147,58853,2469,4,32.47409796714783,190,114,112,207042.46695900089,,,,,omega_sensitivity
tc1c20s3ct3.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.590508278327968,3,100,120000,39223,80777,1272,4,18.700305938720703,190,38,38,69663.38224583789,,,,,omega_sensitivity
tc1c20s3ct3.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.588511853249436,3,100,120000,39181,80819,1934,4,19.134536027908325,190,76,76,164216.76698937692,,,,,omega_sensitivity
tc1c20s3ct3.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.585129685133229,3,100,120000,39222,80778,1620,4,19.264621019363403,190,114,114,239151.0374193996,,,,,omega_sensitivity
tc1c20s3ct4.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.641396854580714,4,100,120000,60925,59075,2315,4,22.560249090194706,190,38,36,71069.8503453825,,,,,omega_sensitivity
tc1c20s3ct4.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.641396854580714,4,100,120000,61933,58067,1789,4,20.678693056106567,190,76,72,146045.16830190778,,,,,omega_sensitivity
tc1c20s3ct4.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.641396854580714,4,100,120000,61447,58553,1903,4,23.548423051834103,190,114,108,232078.28973024857,,,,,omega_sensitivity
tc1c20s4cf1.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.16126983027561,3,100,120000,52423,67577,2388,4,26.106173992156982,190,38,34,64214.51599773981,,,,,omega_sensitivity
