instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment,ablation
tc1c20s3ct1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,14.020528226113354,3,100,59540,27653,31887,432,4,13.826504945755005,190,114,112,615138.9380368905,15115,5.643747573893052,0.3733872030362588,,ablation_frvcp,no_extended_operators
tc1c20s3ct3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.896342369964287,3,100,120000,39019,80981,2233,3,20.73280096054077,190,114,114,709070.0979875725,21715,6.622973175952211,0.30499531088888837,,ablation_frvcp,baseline
tc1c20s3ct3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.941952333009981,3,100,120000,27759,92241,1421,0,16.472151041030884,190,114,114,709070.0979875725,15027,4.467991134210024,0.2973308800299477,,ablation_frvcp,no_shaking
tc1c20s3ct3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,12.976159760020238,3,100,53076,10332,42744,129,4,7.569794654846191,190,114,114,709070.0979875725,7915,2.3220597782055847,0.29337457715800186,,ablation_frvcp,no_extended_operators
tc1c20s3ct4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.336026729585306,4,100,120000,60688,59312,3803,4,26.81144881248474,190,114,108,690508.5792778423,28105,8.852884050225839,0.3149932058432962,,ablation_frvcp,baseline
tc1c20s3ct4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,15.336026729585306,4,100,120000,60799,59201,3238,0,24.018927097320557,190,114,108,690508.5792778423,24300,7.53467259183526,0.31006883093972265,,ablation_frvcp,no_shaking
tc1c20s3ct4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,15.393431371273643,4,100,62296,27504,34792,524,4,12.586587905883789,190,114,108,690508.5792778423,15151,4.272485066670924,0.2819936021827552,,ablation_frvcp,no_extended_operators
tc1c20s4cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.91617477858761,3,100,120000,53892,66108,4351,4,25.21995997428894,190,114,110,580650.1768307594,26022,9.167404986335896,0.3522944042093573,,ablation_frvcp,baseline
tc1c20s4cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,13.909378293097964,3,100,120000,53907,66093,4759,0,23.11602783203125,190,114,110,580650.1768307594,23006,8.080297097330913,0.3512256410210777,,ablation_frvcp,no_shaking
tc1c20s4cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,13.916174778587614,3,100,57124,23147,33977,167,4,11.646464109420776,190,114,110,580650.1768307594,12989,4.338841804652475,0.3340397108824756,,ablation_frvcp,no_extended_operators
